+---------------------------------------------------------------------------------------+-------+----------+--------+
| dependency name                                                                       | count | precison | recall |
+---------------------------------------------------------------------------------------+-------+----------+--------+
| jfreechart:org.jfree                                                                  |   1   |   1.0    |  1.0   |
| com.sparkjava:spark-template-freemarker                                               |   15  |   1.0    | 0.1333 |
| org.mule.transports:mule-transport-file                                               |   23  |   1.0    | 0.087  |
| org.mozilla:rhino                                                                     |   5   |   1.0    |  0.2   |
| com.toxicbakery.viewpager.transforms:view-pager-transforms                            |   2   |   1.0    |  0.5   |
| com.adobe.aem:aem-api                                                                 |   8   |   1.0    |  0.5   |
| org.apache.httpcomponents:httpcore-osgi                                               |   7   |   1.0    | 0.5714 |
| org.mule.modules:mule-module-json                                                     |   18  |   1.0    | 0.1111 |
| org.apache.httpcomponents:httpclient-osgi                                             |   7   |   1.0    | 0.5714 |
| com.ryantenney.metrics:metrics-spring                                                 |  110  |   1.0    | 0.0727 |
| org.onosproject:onos-api                                                              |   6   |   1.0    | 0.1667 |
| org.eclipse.aether:aether-transport-file                                              |   3   |   1.0    | 0.3333 |
| com.atlassian.plugin:atlassian-spring-scanner-runtime                                 |   13  |   1.0    | 0.3077 |
| io.springfox:springfox-bean-validators                                                |  103  |   1.0    | 0.0874 |
| org.mule.tests:mule-tests-functional                                                  |   24  |   1.0    | 0.0833 |
| io.grpc:grpc-netty                                                                    |   13  |   1.0    | 0.0769 |
| org.glassfish.web:jstl-impl                                                           |   34  |   1.0    | 0.0294 |
| org.mule.modules:mule-module-xml                                                      |   23  |   1.0    | 0.087  |
| io.grpc:grpc-protobuf                                                                 |   14  |   1.0    | 0.0714 |
| io.zipkin.java:zipkin-autoconfigure-ui                                                |   11  |   1.0    | 0.0909 |
| com.mulesoft.muleesb.modules:mule-module-spring-config-ee                             |   21  |   1.0    | 0.5714 |
| com.owlike:genson                                                                     |   10  |   1.0    |  0.1   |
| com.pubnub:pubnub-android                                                             |   5   |   1.0    |  0.8   |
| org.springframework:spring-websocket                                                  |   13  |   1.0    | 0.0769 |
| io.dropwizard.metrics:metrics-json                                                    |  109  |   1.0    | 0.0826 |
| org.mule.modules:mule-module-http                                                     |   21  |   1.0    | 0.0952 |
| io.dropwizard.metrics:metrics-servlet                                                 |  108  |   1.0    | 0.0833 |
| com.google.android.gms:play-services-cast-framework                                   |   1   |   1.0    |  1.0   |
| com.google.testing.compile:compile-testing                                            |   1   |   1.0    |  1.0   |
| com.mulesoft.muleesb.transports:mule-transport-jdbc-ee                                |   21  |   1.0    | 0.0952 |
| com.google.android.gms:play-services-appinvite                                        |   12  |   1.0    | 0.1667 |
| org.springframework.cloud:spring-cloud-starter                                        |   23  |   1.0    | 0.0435 |
| org.apache.sling:org.apache.sling.commons.json                                        |   7   |   1.0    | 0.5714 |
| org.apache.felix:org.apache.felix.scr.annotations                                     |   24  |   1.0    | 0.2083 |
| org.glassfish.extras:glassfish-embedded-web                                           |   14  |   1.0    | 0.9286 |
| org.apache.sling:org.apache.sling.models.api                                          |   9   |   1.0    | 0.4444 |
| org.apache.flume:flume-ng-core                                                        |   17  |   1.0    | 0.1176 |
| org.springframework.cloud:spring-cloud-starter-zuul                                   |   41  |   1.0    | 0.0244 |
| junit-addons:junit-addons                                                             |   38  |   1.0    | 0.1053 |
| org.kurento:kurento-client                                                            |   1   |   1.0    |  1.0   |
| org.springframework.security:spring-security-bom                                      |   4   |   1.0    |  0.25  |
| com.noveogroup.android:check                                                          |   71  |   1.0    | 0.3662 |
| com.google.appengine.tools:appengine-gcs-client                                       |   6   |   1.0    | 0.3333 |
| com.google.gwt:gwt                                                                    |   5   |   1.0    |  0.4   |
| com.github.pagehelper:pagehelper-spring-boot-starter                                  |   25  |   1.0    |  0.08  |
| com.mulesoft.muleesb:mule-core-ee                                                     |   21  |   1.0    | 0.0952 |
| com.vaadin:vaadin-spring-boot-starter                                                 |   21  |   1.0    | 0.0952 |
| org.mongodb:mongodb-driver-core                                                       |   2   |   1.0    |  0.5   |
| com.fasterxml.jackson.datatype:jackson-datatype-json-org                              |  115  |   1.0    | 0.0087 |
| com.google.android.wearable:wearable                                                  |   4   |   1.0    |  0.25  |
| org.springframework.cloud:spring-cloud-netflix-sidecar                                |   5   |   1.0    |  0.2   |
| gradle.plugin.com.gorylenko.gradle-git-properties:gradle-git-properties               |   7   |   1.0    | 0.8571 |
| com.mulesoft.muleesb.transports:mule-transport-jms-ee                                 |   21  |   1.0    | 0.0952 |
| org.mule.transports:mule-transport-http                                               |   24  |   1.0    | 0.0833 |
| com.yuyh.easyadapter:library                                                          |   2   |   1.0    |  0.5   |
| com.neovisionaries:nv-websocket-client                                                |   4   |   1.0    |  0.25  |
| io.dropwizard.metrics:metrics-jvm                                                     |  115  |   1.0    | 0.0783 |
| org.onosproject:onlab-osgi                                                            |   8   |   1.0    | 0.125  |
| org.mule.modules:mule-module-scripting                                                |   23  |   1.0    | 0.087  |
| com.atlassian.plugin:atlassian-spring-scanner-annotation                              |   13  |   1.0    | 0.3077 |
| org.mule.transports:mule-transport-jms                                                |   19  |   1.0    | 0.1053 |
| biz.aqute:bndlib                                                                      |   12  |   1.0    | 0.3333 |
| org.mule.modules:mule-module-db                                                       |   19  |   1.0    | 0.0526 |
| net.serenity-bdd:serenity-junit                                                       |   17  |   1.0    | 0.3529 |
| org.jboss.arquillian:arquillian-bom                                                   |   25  |   1.0    |  0.04  |
| com.github.pagehelper:pagehelper                                                      |   71  |   1.0    | 0.0282 |
| io.swagger:swagger-annotations                                                        |   47  |   1.0    | 0.2553 |
| com.google.firebase:firebase-appindexing                                              |   13  |   1.0    | 0.0769 |
| com.android.support.test:testing-support-lib                                          |   2   |   1.0    |  0.5   |
| com.github.orangegangsters:swipy                                                      |   5   |   1.0    |  0.4   |
| net.jcip:jcip-annotations                                                             |   13  |   1.0    | 0.4615 |
| org.openjdk.jmh:jmh-generator-annprocess                                              |   6   |   1.0    | 0.1667 |
| com.amazonaws:aws-java-sdk-sns                                                        |   5   |   1.0    |  0.2   |
| com.sparkjava:spark-template-velocity                                                 |   4   |   1.0    |  0.25  |
| org.fitnesse:fitnesse                                                                 |   1   |   1.0    |  1.0   |
| com.day.cq.wcm:cq-wcm-taglib                                                          |   9   |   1.0    | 0.4444 |
| io.realm:realm-gradle-plugin                                                          |   13  |   1.0    | 0.1538 |
| io.vertx:vertx-web-client                                                             |   70  |  0.9836  | 0.8571 |
| io.vertx:vertx-web                                                                    |   98  |  0.9688  | 0.6327 |
| io.vertx:vertx-unit                                                                   |   99  |  0.9688  | 0.6263 |
| com.yahoofinance-api:yahoofinanceapi                                                  |   69  |  0.9615  | 0.3623 |
| com.microsoft.azure:azure                                                             |   21  |  0.9444  | 0.8095 |
| com.vaadin:vaadin-bom                                                                 |   37  |  0.9231  | 0.3243 |
| io.vertx:vertx-dependencies                                                           |   88  |  0.9118  | 0.7045 |
| io.vertx:vertx-core                                                                   |  107  |  0.9067  | 0.6355 |
| io.dropwizard.metrics:metrics-graphite                                                |  114  |   0.9    | 0.0789 |
| com.github.ben-manes:gradle-versions-plugin                                           |   82  |  0.8966  | 0.3171 |
| com.jayway.awaitility:awaitility                                                      |  110  |  0.8611  | 0.5636 |
| com.jakewharton.timber:timber                                                         |   96  |  0.8333  | 0.2604 |
| javax.jcr:jcr                                                                         |   12  |  0.8333  | 0.4167 |
| org.apache.cxf:cxf-rt-rs-client                                                       |   88  |  0.8182  | 0.1023 |
| io.dropwizard.metrics:metrics-core                                                    |  134  |  0.8182  | 0.0672 |
| org.springframework.boot:spring-boot-starter-logging                                  |   66  |   0.8    | 0.1212 |
| com.jayway.restassured:rest-assured                                                   |  167  |  0.7647  | 0.3892 |
| com.atlassian.plugin:atlassian-spring-scanner-external-jar                            |   12  |   0.75   |  0.25  |
| com.firebaseui:firebase-ui-auth                                                       |   22  |   0.75   | 0.4091 |
| com.github.philjay:mpandroidchart                                                     |   83  |  0.7353  | 0.3012 |
| io.dropwizard:dropwizard-bom                                                          |   25  |  0.7273  |  0.32  |
| info.cukes:cucumber-junit                                                             |  124  |  0.7027  | 0.2097 |
| io.dropwizard:dropwizard-assets                                                       |   19  |  0.6667  | 0.2105 |
| org.osgi:org.osgi.core                                                                |   33  |  0.6667  | 0.1212 |
| com.vaadin:vaadin-push                                                                |   17  |  0.6667  | 0.1176 |
| com.vaadin:vaadin-server                                                              |   24  |  0.6667  | 0.1667 |
| org.osgi:org.osgi.compendium                                                          |   24  |  0.6667  | 0.1667 |
| io.spring.gradle:dependency-management-plugin                                         |   9   |  0.6667  | 0.6667 |
| com.amazonaws:aws-lambda-java-core                                                    |   32  |  0.6429  | 0.2813 |
| com.android.support:support-annotations                                               |  191  |  0.6316  | 0.0628 |
| org.springframework.boot:spring-boot-starter-batch                                    |   22  |  0.625   | 0.2273 |
| org.springframework.cloud:spring-cloud-dependencies                                   |  230  |  0.619   | 0.1696 |
| org.jboss.arquillian.junit:arquillian-junit-container                                 |   93  |  0.6154  | 0.086  |
| io.appium:java-client                                                                 |   29  |   0.6    | 0.2069 |
| com.mobidevelop.robovm:robovm-gradle-plugin                                           |   25  |   0.6    |  0.12  |
| com.atlassian.jira:jira-api                                                           |   8   |   0.6    | 0.375  |
| com.vaadin:vaadin-themes                                                              |   30  |   0.6    |  0.1   |
| com.vaadin:vaadin-client-compiled                                                     |   15  |   0.6    |  0.2   |
| org.jboss.arquillian.protocol:arquillian-protocol-servlet                             |   22  |  0.5833  | 0.3182 |
| com.alibaba:dubbo                                                                     |   65  |  0.5833  | 0.1077 |
| org.springframework.cloud:spring-cloud-config-server                                  |   90  |  0.5714  | 0.1333 |
| com.google.firebase:firebase-database                                                 |   96  |  0.5652  | 0.1354 |
| com.cloudant:cloudant-client                                                          |   65  |   0.55   | 0.6769 |
| info.cukes:cucumber-java                                                              |   94  |  0.5306  | 0.2766 |
| com.github.stefanbirkner:system-rules                                                 |   22  |   0.5    | 0.0455 |
| org.jboss.as:jboss-as-arquillian-container-managed                                    |   13  |   0.5    | 0.0769 |
| org.jboss.as:jboss-as-arquillian-container-remote                                     |   6   |   0.5    | 0.1667 |
| org.activiti:activiti-spring-boot-starter-basic                                       |   4   |   0.5    |  0.25  |
| org.hibernate:hibernate-validator-annotation-processor                                |   23  |   0.5    | 0.0435 |
| org.springframework.boot:spring-boot-starter-amqp                                     |   42  |   0.5    | 0.0476 |
| com.google.android.apps.muzei:muzei-api                                               |   5   |   0.5    |  0.2   |
| io.dropwizard:dropwizard-core                                                         |   56  |   0.5    | 0.1786 |
| com.microsoft.azure:azure-storage                                                     |   8   |   0.5    | 0.125  |
| com.google.firebase:firebase-storage                                                  |   42  |   0.5    | 0.1667 |
| com.rometools:rome                                                                    |   10  |   0.5    |  0.1   |
| com.google.jimfs:jimfs                                                                |   2   |   0.5    |  0.5   |
| org.apache.openejb:javaee-api                                                         |   13  |   0.5    | 0.0769 |
| com.google.cloud.tools:appengine-gradle-plugin                                        |   4   |   0.5    |  0.25  |
| org.aspectj:aspectjtools                                                              |   34  |   0.5    | 0.0294 |
| org.springframework.batch:spring-batch-core                                           |   16  |   0.5    | 0.0625 |
| com.google.firebase:firebase-crash                                                    |   30  |   0.5    | 0.0667 |
| com.google.appengine:appengine-testing                                                |   21  |   0.5    | 0.0476 |
| com.dicedmelon.gradle:jacoco-android                                                  |   15  |   0.5    | 0.1333 |
| org.apache.lucene:lucene-analyzers-common                                             |   27  |   0.5    | 0.0741 |
| com.google.firebase:firebase-analytics                                                |   13  |   0.5    | 0.0769 |
| com.inthecheesefactory.thecheeselibrary:adjustable-imageview                          |   9   |   0.5    | 0.2222 |
| com.google.firebase:firebase-config                                                   |   21  |   0.5    | 0.3333 |
| org.apache.storm:storm-core                                                           |   21  |   0.5    | 0.0952 |
| org.apache.maven:maven-aether-provider                                                |   5   |   0.5    |  0.2   |
| org.wildfly.arquillian:wildfly-arquillian-container-managed                           |   4   |   0.5    |  0.5   |
| com.atlassian.plugins:atlassian-plugins-osgi-testrunner                               |   14  |   0.5    | 0.1429 |
| mysql:mysql-connector-java                                                            |  1878 |  0.4604  | 0.155  |
| org.seleniumhq.selenium:selenium-java                                                 |  196  |  0.4578  | 0.1939 |
| org.apache.zookeeper:zookeeper                                                        |   85  |  0.4545  | 0.0588 |
| org.springframework.boot:spring-boot-starter-test                                     |  1618 |  0.4505  | 0.2447 |
| com.jakewharton:butterknife-compiler                                                  |  184  |   0.45   | 0.1467 |
| com.android.tools.build:gradle                                                        |  3909 |  0.4486  | 0.2576 |
| org.springframework.boot:spring-boot-starter-data-mongodb                             |  110  |  0.4412  | 0.1364 |
| io.springfox:springfox-swagger-ui                                                     |  239  |  0.4194  | 0.0544 |
| org.springframework.boot:spring-boot-starter-data-jpa                                 |  958  |  0.4183  | 0.1336 |
| org.apache.poi:poi-ooxml                                                              |  183  |  0.4146  | 0.0929 |
| javax.validation:validation-api                                                       |  393  |  0.4118  | 0.0178 |
| com.alibaba:druid                                                                     |  237  |  0.4118  | 0.0295 |
| com.google.firebase:firebase-auth                                                     |   85  |  0.4063  | 0.1529 |
| junit:junit                                                                           |  4114 |  0.4059  | 0.2888 |
| org.mybatis:mybatis                                                                   |  359  |  0.4054  | 0.0418 |
| org.apache.tiles:tiles-api                                                            |   13  |   0.4    | 0.1538 |
| com.firebaseui:firebase-ui-database                                                   |   32  |   0.4    | 0.0625 |
| com.google.gwt:gwt-user                                                               |   15  |   0.4    | 0.1333 |
| org.jbehave:jbehave-core                                                              |   9   |   0.4    | 0.2222 |
| org.springframework.data:spring-data-mongodb                                          |   31  |   0.4    | 0.0645 |
| com.fasterxml.jackson.module:jackson-module-jaxb-annotations                          |   34  |   0.4    | 0.0588 |
| org.apache.shiro:shiro-web                                                            |   38  |   0.4    | 0.0526 |
| com.google.firebase:firebase-messaging                                                |   72  |  0.3889  | 0.0972 |
| org.mybatis.spring.boot:mybatis-spring-boot-starter                                   |  130  |  0.3871  | 0.0923 |
